EDI_Prices_P04_20240422
MIC	Pricefilesymbol	Isin	Currency	PriceDate	Open	High	Low	Close	Mid	Ask	Last	Bid	BidSize	AskSize	TradedVolume	SecID	MktCloseDate	Volflag	Issuername	SectyCD	SecurityDesc	sedol	USCode	PrimaryExchgCD	ExchgCD	TradedValue	TotalTrades	Comment
XSWX	CRS201	CH0520663599	CHF	2024/04/22	90.9	90.9	90.9	90.9	0	0	0	0	0	0	100000	6264538	2024/04/22	A	Credit Suisse AG	BND	ZC BD REDEEM 31/10/2030 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	CRS21	CH0591979650	CHF	2024/04/22	96.2	96.25	96.2	96.25	0	0	0	0	0	0	70000	6745289	2024/04/22	A	Credit Suisse AG	BND	ZC BD REDEEM 27/01/2027 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	CRS211	CH0591979668	CHF	2024/02/22	0	0	0	86.7	0	0	0	0	0	0	0	6745290	2024/04/22	A	Credit Suisse AG	BND	ZC BD REDEEM 27/01/2033 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	CRS23	CH1230759545	CHF	2024/04/22	0	0	0	100	0	0	0	0	0	0	0	7819774	2024/04/22	A	Credit Suisse AG	BND	ZC BD REDEEM 27/01/2027 CHF 5000 - CH1230759545			CHSSX	CHSSX	0	0	
XSWX	CRS232	CH1239495026	CHF	2024/04/22	0	0	0	100	0	0	0	0	0	0	0	7819731	2024/04/22	A	Credit Suisse AG	BND	ZC BD REDEEM 29/06/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	CRS233	CH1239495034	CHF	2024/04/22	0	0	0	100	0	0	0	0	0	0	0	7819722	2024/04/22	A	Credit Suisse AG	BND	ZC BD REDEEM 16/06/2028 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	E161	CH0224397346	CHF	2024/04/22	96	96.22	95.85	95.85	0	0	0	0	0	0	511000	4799613	2024/04/22	A	Switzerland	BND	ZC NT REDEEM 22/06/2029 CHF 1000			CHSSX	CHSSX	0	0	
XSWX	E19	CH0440081393	CHF	2024/04/10	0	0	0	93.27	0	0	0	0	0	0	0	5982666	2024/04/22	A	Switzerland	BND	ZC BD REDEEM 26/06/2034 CHF 1000			CHSSX	CHSSX	0	0	
XSWX	E198	CH0440081401	CHF	2024/04/22	89.95	89.95	89.95	89.95	0	0	0	0	0	0	100000	6015486	2024/04/22	A	Switzerland	BND	ZC BD REDEEM 24/07/2039 CHF 1000			CHSSX	CHSSX	0	0	
XSWX	EUF21	CH1149985959	CHF	2024/03/01	0	0	0	91.1	0	0	0	0	0	0	0	7210719	2024/04/22	A	EUROFIMA European Company for the Financing of Railroad Rolling Stock.	BND	ZC BD REDEEM 22/12/2031 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	FRK20	CH0506071114	CHF	2024/04/12	0	0	0	92.3	0	0	0	0	0	0	0	6260383	2024/04/22	A	Banque Cantonale de Fribourg	BND	ZC BD REDEEM 26/02/2030 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	FRK205	CH0506071353	CHF	2024/04/12	0	0	0	90.8	0	0	0	0	0	0	0	6724535	2024/04/22	A	Banque Cantonale de Fribourg	BND	ZC BD REDEEM 05/02/2031 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	GKB19	CH0485260837	CHF	2024/04/11	0	0	0	92.65	0	0	0	0	0	0	0	6107389	2024/04/22	A	Glarner Kantonalbank	BND	ZC BD REDEEM 16/10/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	GKB20	CH0506071189	CHF	2024/04/18	0	0	0	94.75	0	0	0	0	0	0	0	6287284	2024/04/22	A	Glarner Kantonalbank	BND	ZC BD REDEEM 06/09/2028 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	LUK20	CH0506071130	CHF	2024/04/11	0	0	0	94.6	0	0	0	0	0	0	0	6273487	2024/04/22	A	Luzerner Kantonalbank AG	BND	ZC BD REDEEM 07/08/2028 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	NKB19	CH0419041626	CHF	2024/04/11	0	0	0	92.8	0	0	0	0	0	0	0	6118566	2024/04/22	A	Nidwaldner Kantonalbank	BND	ZC BD REDEEM 05/11/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	KSW19	CH0419041428	CHF	2024/04/18	0	0	0	88.1	0	0	0	0	0	0	0	6077676	2024/04/22	A	Kantonsspital Winterthur	BND	ZC BD REDEEM 30/09/2031 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	KSW21	CH1131931276	CHF	2024/04/18	0	0	0	97.7	0	0	0	0	0	0	0	7062493	2024/04/22	A	Kantonsspital Winterthur	BND	ZC BD REDEEM 30/09/2025 CHF 5000 - Reg S			CHSSX	CHSSX	0	0	
XSWX	BE21	CH1111392853	CHF	2024/02/12	0	0	0	90	0	0	0	0	0	0	0	6890789	2024/04/22	A	Bern kanton.	BND	ZC BD REDEEM 18/05/2033 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BS162	CH0331455334	CHF	2024/04/11	0	0	0	97.7	0	0	0	0	0	0	0	4871243	2024/04/22	A	Basel City Kanton	BND	ZC BD REDEEM 04/09/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BS163	CH0331455342	CHF	2024/04/16	0	0	0	94.3	0	0	0	0	0	0	0	4871250	2024/04/22	A	Basel City Kanton	BND	ZC BD REDEEM 05/09/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BS17	CH0353574327	CHF	2024/04/09	0	0	0	99.25	0	0	0	0	0	0	0	5339722	2024/04/22	A	Basel City Kanton	BND	ZC BD REDEEM 22/11/2024 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BS181	CH0394905712	CHF	2024/04/02	0	0	0	98.45	0	0	0	0	0	0	0	5667485	2024/04/22	A	Basel City Kanton	BND	ZC BD REDEEM 24/09/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BS192	CH0471297975	CHF	2024/04/22	98.83	98.83	98.83	98.83	0	0	0	0	0	0	50000	5967979	2024/04/22	A	Basel City Kanton	BND	ZC BD REDEEM 30/05/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	GE192	CH0505011913	CHF	2024/04/17	0	0	0	95.75	0	0	0	0	0	0	0	6157114	2024/04/22	A	Canton de Geneve	BND	ZC BD REDEEM 26/05/2028 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	GE19	CH0494734392	CHF	2024/03/26	0	0	0	65.8	0	0	0	0	0	0	0	6081882	2024/04/22	A	Canton de Geneve	BND	ZC BD REDEEM 23/09/2059 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	LU18	CH0434678378	CHF	2024/03/27	0	0	0	98.55	0	0	0	0	0	0	0	5712899	2024/04/22	A	Luzern Kanton	BND	ZC BD REDEEM 15/10/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	LU20	CH0506071296	CHF	2024/03/12	0	0	0	93.45	0	0	0	0	0	0	0	6488161	2024/04/22	A	Luzern Kanton	BND	ZC BD REDEEM 23/07/2030 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	LU21	CH0522158895	CHF	2024/04/05	0	0	0	92.55	0	0	0	0	0	0	0	6953136	2024/04/22	A	Canton of Luzern	BND	ZC BD REDEEM 25/06/2031 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	NE21	CH1137122805	CHF	2023/11/17	0	0	0	93.75	0	0	0	0	0	0	0	7150762	2024/04/22	A	Neuenburg Kanton	BND	ZC BD REDEEM 29/10/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	SO17	CH0379268755	CHF	2024/04/15	0	0	0	98.4	0	0	0	0	0	0	0	5276730	2024/04/22	A	Canton Of Solothurn	BND	ZC BD REDEEM 27/10/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	TI19	CH0469273509	CHF	2024/04/18	0	0	0	94.6	0	0	0	0	0	0	0	5920638	2024/04/22	A	Tessin Kanton	BND	ZC BD REDEEM 18/04/2029 CHF 5000 - Reg S			CHSSX	CHSSX	0	0	
XSWX	TI21	CH1100259790	CHF	2023/12/22	0	0	0	97.6	0	0	0	0	0	0	0	6852435	2024/04/22	A	Tessin Kanton	BND	ZC MUNI REDEEM 31/03/2026 CHF 5000 - Reg S			CHSSX	CHSSX	0	0	
XSWX	ZH18	CH0373476933	CHF	2024/03/27	0	0	0	99.83	0	0	0	0	0	0	0	5562737	2024/04/22	A	Zurich Kanton	BND	ZC BD REDEEM 27/06/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	ZH20	CH0536892737	CHF	2024/04/11	0	0	0	95.6	0	0	0	0	0	0	0	6427180	2024/04/22	A	Zurich Kanton	BND	ZC BD REDEEM 23/06/2028 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	ZH21	CH1101096621	CHF	2024/04/12	0	0	0	89.8	0	0	0	0	0	0	0	6871976	2024/04/22	A	Zurich Kanton	BND	ZC BD REDEEM 10/11/2033 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	AR19	CH0483180979	CHF	2023/12/21	0	0	0	94.05	0	0	0	0	0	0	0	6019695	2024/04/22	A	Kanton Appenzell Ausserrhoden	BND	ZC BD REDEEM 16/07/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB670	CH0471297918	CHF	2024/04/05	0	0	0	99.67	0	0	0	0	0	0	0	5915464	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 29/07/2024 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB675	CH0485252800	CHF	2024/04/09	0	0	0	96.07	0	0	0	0	0	0	0	6019315	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 15/06/2027 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB678	CH0485252875	CHF	2024/04/22	70.5	70.5	70.5	70.5	0	0	0	0	0	0	15000	6064326	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 26/08/2049 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB680	CH0502393355	CHF	2024/04/12	0	0	0	97.59	0	0	0	0	0	0	0	6126620	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 30/03/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB682	CH0511762061	CHF	2024/04/17	0	0	0	96.33	0	0	0	0	0	0	0	6203879	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 16/04/2027 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB683	CH0525158397	CHF	2024/04/16	0	0	0	95.15	0	0	0	0	0	0	0	6301373	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 25/02/2028 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB684	CH0525158413	CHF	2024/01/30	0	0	0	74.4	0	0	0	0	0	0	0	6301479	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 10/05/2045 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB685	CH0528881169	CHF	2024/04/04	0	0	0	92.58	0	0	0	0	0	0	0	6334036	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 26/02/2030 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB693	CH0572326988	CHF	2024/04/19	0	0	0	98.37	0	0	0	0	0	0	0	6589342	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 12/08/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB695	CH0575017071	CHF	2024/04/09	0	0	0	92.96	0	0	0	0	0	0	0	6671197	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 26/10/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB697	CH0591979619	CHF	2024/02/22	0	0	0	78.28	0	0	0	0	0	0	0	6730075	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 20/05/2041 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB704	CH1122290187	CHF	2024/04/18	0	0	0	95.68	0	0	0	0	0	0	0	7015164	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 17/11/2027 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PB713	CH1160382912	CHF	2024/04/11	0	0	0	97.5	0	0	0	0	0	0	0	7297900	2024/04/22	A	Pfandbriefbank Schweiz Hypothekarinstitute	BND	ZC CB REDEEM 26/05/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PSP194	CH0488506665	CHF	2024/04/22	91.1	91.1	91.1	91.1	0	0	0	0	0	0	5000	6066219	2024/04/22	A	PSP Swiss Property AG	BND	ZC BD REDEEM 06/02/2030 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ482	CH0336587669	CHF	2024/04/19	0	0	0	99.79	0	0	0	0	0	0	0	4877999	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 14/06/2024 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ483	CH0336587719	CHF	2024/04/12	0	0	0	96.7	0	0	0	0	0	0	0	4877986	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 27/01/2027 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ485	CH0337645581	CHF	2024/04/17	0	0	0	96.97	0	0	0	0	0	0	0	4942277	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 02/10/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ511	CH0419041162	CHF	2024/04/11	0	0	0	99.22	0	0	0	0	0	0	0	5936155	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 23/06/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ514	CH0419041469	CHF	2024/03/26	0	0	0	82.46	0	0	0	0	0	0	0	6083234	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 10/09/2037 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ517	CH0506071163	CHF	2024/04/04	0	0	0	91.07	0	0	0	0	0	0	0	6280982	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 02/04/2031 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ524	CH0536893198	CHF	2024/04/18	0	0	0	94.73	0	0	0	0	0	0	0	6538031	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC BD REDEEM 21/06/2028 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ526	CH0536893412	CHF	2024/04/12	0	0	0	91.85	0	0	0	0	0	0	0	6580153	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 19/07/2030 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ528	CH0570576154	CHF	2024/04/16	0	0	0	92.51	0	0	0	0	0	0	0	6626172	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 15/03/2030 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ529	CH0589031019	CHF	2024/04/17	0	0	0	94.02	0	0	0	0	0	0	0	6755158	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 05/02/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ530	CH0589031027	CHF	2024/04/11	0	0	0	88.37	0	0	0	0	0	0	0	6755156	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 18/03/2033 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ531	CH0589031035	CHF	2024/03/26	0	0	0	84.63	0	0	0	0	0	0	0	6755160	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 15/02/2036 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ534	CH1101096522	CHF	2024/04/16	0	0	0	95.2	0	0	0	0	0	0	0	6840464	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 13/03/2028 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ538	CH1131931243	CHF	2024/04/18	0	0	0	90.57	0	0	0	0	0	0	0	7052364	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 25/07/2031 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	PZ539	CH1131931250	CHF	2024/03/26	0	0	0	84.07	0	0	0	0	0	0	0	7052398	2024/04/22	A	Pfandbriefzentrale Der Schweiz. Kantonalbanken	BND	ZC CB REDEEM 16/09/2036 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	RHB16	CH0330938892	CHF	2023/12/15	0	0	0	98.25	0	0	0	0	0	0	0	4876807	2024/04/22	A	Rhaetische Bahn AG	BND	ZC BD REDEEM 01/09/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	RHB161	CH0330938900	CHF	2024/03/22	0	0	0	92.45	0	0	0	0	0	0	0	4876810	2024/04/22	A	Rhaetische Bahn AG	BND	ZC BD REDEEM 01/09/2031 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	RHB21	CH1130818813	CHF	2023/03/20	0	0	0	90	0	0	0	0	0	0	0	7110275	2024/04/22	A	Rhatische Bahn AG	BND	ZC BD REDEEM 29/09/2036 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	SOB19	CH0419041550	CHF	2023/10/30	0	0	0	95.65	0	0	0	0	0	0	0	6153139	2024/04/22	A	Schweizerische Sudostbahn	BND	ZC BD REDEEM 28/10/2027 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	SCM192	CH0494734335	CHF	2024/03/20	0	0	0	72.6	0	0	0	0	0	0	0	6066220	2024/04/22	A	Swisscom AG	BND	ZC BD REDEEM 30/08/2044 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	SLH192	CH0461238906	CHF	2024/04/22	98.47	98.47	98.47	98.47	0	0	0	0	0	0	25000	6169216	2024/04/22	A	Swiss Life Holding	BND	ZC BD REDEEM 06/06/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	SON19	CH0419041592	CHF	2024/04/22	93	93	92.7	92.95	0	0	0	0	0	0	165000	6115417	2024/04/22	A	Sonova Holding AG	BND	ZC BD REDEEM 11/10/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	SGD21	CH0461239102	CHF	2024/04/16	0	0	0	95	0	0	0	0	0	0	0	6253399	2024/04/22	A	Swissgrid AG	BND	FR BD REDEEM 30/06/2028 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	SGD25	CH1131931292	CHF	2024/04/19	0	0	0	97.25	0	0	0	0	0	0	0	7071868	2024/04/22	A	Swissgrid AG	BND	ZC BD REDEEM 30/06/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	SZK20	CH0577734301	CHF	2024/04/15	0	0	0	91.95	0	0	0	0	0	0	0	6615670	2024/04/22	A	Schwyzer Kantonalbank	BND	ZC BD REDEEM 13/11/2030 CHF 5000		H7405FBD5	DEFSX	CHSSX	0	0	
XSWX	TPG20	CH0520663607	CHF	2023/11/21	0	0	0	88.65	0	0	0	0	0	0	0	6273583	2024/04/22	A	Transports Publics Genevois	BND	ZC BD REDEEM 24/02/2032 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	UBG258	CH1305916863	CHF	2024/04/22	0	0	0	77.3	0	0	0	0	0	0	0	8328681	2024/04/22	A	UBS Group AG	BND	ZC BD REDEEM 30/06/2034 CHF 1293677			CHSSX	CHSSX	0	0	
XSWX	UCH241	CH1321481520	CHF	2024/04/22	0	0	0	100	0	0	0	0	0	0	0	8398176	2024/04/22	A	UBS Switzerland AG	BND	ZC CB REDEEM 22/01/2027 CHF 5000			CHBND	CHSSX	0	0	
XSWX	UCH24	CH1321481512	CHF	2024/04/22	0	0	0	100	0	0	0	0	0	0	0	8398160	2024/04/22	A	UBS Switzerland AG	BND	ZC CB REDEEM 18/10/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	VAB421	CH0506071387	CHF	2024/04/19	0	0	0	97.85	0	0	0	0	0	0	0	6737084	2024/04/22	A	Valiant Bank	BND	ZC BD REDEEM 20/01/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	VAB219	CH0419041337	CHF	2024/04/05	0	0	0	92.4	0	0	0	0	0	0	0	6008830	2024/04/22	A	Valiant Bank	BND	ZC CB REDEEM 31/07/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	VAB319	CH0419041675	CHF	2024/04/12	0	0	0	98.1	0	0	0	0	0	0	0	6135023	2024/04/22	A	Valiant Bank	BND	ZC CB REDEEM 31/10/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	WKB20	CH0521617297	CHF	2024/02/28	0	0	0	93.5	0	0	0	0	0	0	0	6273718	2024/04/22	A	Walliser Kantonalbank	BND	ZC BD REDEEM 14/02/2029 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	ZUR201	CH0561923878	CHF	2024/03/18	0	0	0	67.3	0	0	0	0	0	0	0	6569474	2024/04/22	A	Zurich Stadt	BND	ZC BD REDEEM 26/10/2060 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	ZUR21	CH1112011569	CHF	2024/04/15	0	0	0	92.7	0	0	0	0	0	0	0	6975068	2024/04/22	A	Zurich Stadt	BND	ZC BD REDEEM 25/11/2030 CHF 1000			CHSSX	CHSSX	0	0	
XSWX	ZKB202	CH0506071221	CHF	2024/04/04	0	0	0	92.5	0	0	0	0	0	0	0	6299652	2024/04/22	A	Zuercher Kantonalbank	BND	ZC BD REDEEM 12/03/2030 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	ZKB149	CH0589030946	CHF	2024/04/18	0	0	0	88.35	0	0	0	0	0	0	0	6731834	2024/04/22	A	Zuercher Kantonalbank	BND	ZC BD REDEEM 21/01/2033 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	ZUI21	CH1118223523	CHF	2024/04/11	0	0	0	89.9	0	0	0	0	0	0	0	7051324	2024/04/22	A	Zurich Insurance Group AG Ltd	BND	ZC NT REDEEM 26/08/2031 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	AGK21	CH0506071288	CHF	2024/04/15	0	0	0	94.95	0	0	0	0	0	0	0	6446817	2024/04/22	A	Aargauische Kantonalbank	BND	0.01% BD REDEEM 29/06/2028 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	AGK20	CH0506071106	CHF	2024/03/11	0	0	0	92.3	0	0	0	0	0	0	0	6257646	2024/04/22	A	Aargauische Kantonalbank	BND	0.01% BD REDEEM 18/02/2030 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BLK203	CH0592087230	CHF	2024/04/12	0	0	0	88.65	0	0	0	0	0	0	0	6730056	2024/04/22	A	Basellandschaftliche Kantonalbank	BND	0.01% BD REDEEM 28/01/2033 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	BLK22	CH0522158994	CHF	2024/04/19	0	0	0	97.25	0	0	0	0	0	0	0	7268672	2024/04/22	A	Basellandschaftliche Kantonalbank	BND	0.01% BD REDEEM 28/07/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	TI17	CH0387879072	CHF	2024/04/19	0	0	0	97.85	0	0	0	0	0	0	0	5370507	2024/04/22	A	Tessin Kanton	BND	0.01% BD REDEEM 22/12/2025 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	ZH17	CH0353945378	CHF	2024/03/27	0	0	0	97.6	0	0	0	0	0	0	0	5043605	2024/04/22	A	Zurich Kanton	BND	0.01% BD REDEEM 07/09/2026 CHF 5000			CHSSX	CHSSX	0	0	
XSWX	LIS20	CH0564642079	CHF	2024/04/22	95	95	95	95	0	0	0	0	0	0	50000	6548362	2024/04/22	A	Chocoladefabriken Lindt & Sprungli AG.	BND	0.01% BD REDEEM 06/10/2028 CHF 5000			DEFSX	CHSSX	0	0	
